30698999,"CRISPR technology has opened a new era of genome interrogation and genome engineering. Discovered in bacteria, where it protects against bacteriophage by cleaving foreign nucleic acid sequences, the CRISPR system has been repurposed as an adaptable tool for genome editing and multiple other applications. CRISPR's ease of use, precision, and versatility have led to its widespread adoption, accelerating biomedical research and discovery in human cells and model organisms. Here we review CRISPR-based tools and discuss how they are being applied to decode the genetic circuits that control immune function in health and disease. Genetic variation in immune cells can affect autoimmune disease risk, infectious disease pathogenesis, and cancer immunotherapies. CRISPR provides unprecedented opportunities for functional mechanistic studies of coding and noncoding genome sequence function in immunity. Finally, we discuss the potential of CRISPR technology to engineer synthetic cellular immunotherapies for a wide range of human diseases. Expected final online publication date for the Annual Review of Immunology Volume 37 is April 26, 2019 Please see http://www.annualreviews.org/page/journal/pubdates for revised estimates."
30698500,"Streptococcus pneumoniae causes pneumonia, meningitis, otitis media, and bacteremia. The mortality and morbidity of invasive pneumococcal disease are high among adults aged >65 years or those with underlying chronic or immunosuppressive conditions. A recent systematic review showed that patients treated with immunosuppressive agents have impaired immune responses to pneumococcal conjugate vaccine (PCV) and pneumococcal polysaccharide vaccine compared with healthy subjects. A more favorable response is observed in patients treated with tumor necrosis factor-alpha-blocking agents compared with those treated with other immunosuppressive agents. Low systemic corticosteroid doses do not affect the responses to pneumococcal vaccines. Patients with human immunodeficiency virus and idiopathic pulmonary fibrosis receiving immunosuppressive therapy exhibit decreased immunogenicity to pneumococcal vaccines. The effects of T-cell-dependent PCV possibly depend on host memory B cells in some disease conditions. Several immunosuppressive therapy types and disease conditions may affect the responses to pneumococcal vaccines. Immunization should be administered before immunosuppressive medication initiation whenever possible."
30698146,"Vitiligo is associated with (autoimmune) thyroid disease. However, confounding factors, including type and onset of vitiligo, require elucidation. We conducted a meta-analysis to identify vitiligo patients with increased risk of (autoimmune) thyroid disease. Studies were identified based on searches in PubMed, MEDLINE, Embase, and the Cochrane Library from inception of these databases to August 31st, 2017. Odds ratios (ORs) for the prevalence of (autoimmune) thyroid disease and thyroid antibodies in vitiligo patients were pooled, and subgroup analysis was performed. Thirty-seven studies with 78,714 vitiligo patients met the inclusion criteria. The prevalence of thyroid disease (TD) (OR: 3.932; 95% CI: 2.230-6.933), autoimmune TD (OR: 5.879; 95% CI: 2.682-12.885), anti-thyroperoxidase (TPO) antibody (OR: 3.838; 95% CI: 2.968-4.963), and anti-thyroglobulin antibody (OR: 3.513; 95% CI: 2.346-5.260) was significantly higher in vitiligo patients than in controls. Notably, the prevalence of TD and anti-TPO antibody was significantly higher in patients with non-segmental vitiligo, compared to those with segmental vitiligo. In contrast, the prevalence of TD was significantly lower in early-, compared to the late-onset vitiligo group (OR: 0.333; 95% CI: 0.244-0.453). Physicians should be aware of the increased risk of (autoimmune) thyroid disease in vitiligo patients. We recommend routine screening for anti-thyroid antibodies in vitiligo patients."
30698041,"The aim of this study is to evaluate ovarian reserve in women with psoriasis. Thirty-six women with psoriasis and 36 healthy women were enrolled in this prospective study. On day 3 of the menstrual cycle, blood samples for AMH and other hormones were collected. On the same day, antral follicle count (AFC), and ovarian volumes were measured. A multiple regression analysis was carried out to examine the contribution of factors to the serum AMH levels in patients with psoriasis. The serum AMH levels and ovarian volumes were lower in the psoriasis group than in the control group (1.85 ± 1.13 ng/ml vs 2.46 ± 1.21 ng/ml, p = .029 and 10.43 ± 3.08 cm<sup>3</sup> vs 11.93 ± 3.01 cm<sup>3</sup>, p = .038). However, the mean AFC between the two groups was not significantly different. The psoriasis area severity index (PASI) score did not correlate with AMH. On the other hand, the duration of the disease negatively correlated with AMH, total AFC and ovarian volume. In the multiple regression analysis, duration of disease and total AFC were the most significant contributors to the serum AMH levels in patients with psoriasis. Autoimmune diseases may affect ovarian reserve regardless of immunosuppresive treatment. Longitudinal follow-ups regarding reproductive function might be required in women with psoriasis."
30697467,"Multiple Sclerosis (MS) is an autoimmune disease of the central nervous system, mostly affecting young adults. Diamine oxidase is an enzyme essential for histamine production. Histamine which is produced mostly by mast cells can have effects on different aspects of immune system via its different histamine receptors (H1R, H2R, H3R and H4R). The crucial role of diamine oxidase and histamine in immune balance has been documented in different studies and experiments both on MS patients and on experimental allergic encephalomyelitis (EAE). In this regard, we aimed to measure the level of histamine and diamine oxidase in the serum of MS patients."
30697352,"Despite high mortality, cardiovascular disease (CVD) is underestimated in autoimmune rheumatic diseases (ARDs), due to its atypical presentation. The multi-faceted nature of CVD in ARDs created the need of a dedicated outpatient cardio-rheumatic clinic. Clinical examination, rest/exercise ECG, echocardiography, nuclear techniques and cardiac catheterisation were used as first-line diagnostic tools. Although the currently used non-invasive modalities perform well in cardiology, they are unable to diagnose the complex CVD pathophysiology of ARDs. The application of cardiovascular magnetic resonance (CMR) offers some significant advantages. CMR is versatile and can be used to perform functional, stress-rest perfusion, fibrosis and evaluation of great, peripheral and coronary vessels patency, without the use of ionising radiation, allowing early diagnosis of CVD and prompting modifications of anti-rheumatic and cardiac treatment."
30697263,There are no reliable data regarding the prevalence of rheumatoid arthritis (RA) in Poland.
30697217,"Dietary habits have a profound impact on intestinal homeostasis and in general on human health. In Western countries, high intake of calories derived from fried products, butter and processed meat is favored over dietary regimens rich in fruits and vegetables. This type of diet is usually referred to as Western-type diet (WTD) and it has been associated with several metabolic and chronic inflammatory conditions of the gastrointestinal tract. In this review, we describe how WTD promotes intestinal and extra-intestinal inflammation and alters mucosal immunity acting on CD4<sup>+</sup> T cells in a microbiota-dependent or -independent fashion, ultimately leading to higher susceptibility to infectious and autoimmune diseases. Moreover, summarizing recent findings, we propose how dietary supplementation with fiber and vitamins could be used as a tool to modulate CD4<sup>+</sup> T cell phenotype and function, ameliorating inflammation and restoring mucosal homeostasis."
30696851,"Autoimmune Diabetes Mellitus (DM) is a chronic disease caused by the selective destruction of insulin producing beta cells in human pancreas. DM is characterized by the presence of autoantibodies that bind a variety of islet-cell antigens. The 65 kDa isoform of glutamate decarboxylase (GAD65) is a major autoantigen recognized by these autoantibodies. Autoantibodies to GAD65 (GADA) are considered predictive markers of the disease when tested in combination with other specific autoantibodies. In order to produce reliable immunochemical tests for large scale screening of autoimmune DM, large amounts of properly folded GAD65 are needed. Herein, we report the production of human GAD65 using the baculovirus expression system in two species of larvae, Rachiplusia nu and Spodoptera frugiperda. GAD65 was identified at the expected molecular weight, properly expressed with high yield and purity in both larvae species and presenting appropriate enzymatic activity. The immunochemical ability of recombinant GAD65 obtained from both larvae to compete with [<sup>35</sup>S]GAD65 was assessed qualitatively by incubating GADA-positive patients' sera in the presence of 1 μM of the recombinant enzyme. All sera tested became virtually negative after incubation with antigen excess. Besides, radiometric quantitative competition assays with GADA-positive patients' sera were performed by adding recombinant GAD65 (0.62 nM-1.4 µM). All dose response curves showed immunochemical identity between proteins. In addition, a bridge-ELISA for the detection of GADA was developed using S. frugiperda-GAD65. This assay proved to have 77.3% sensitivity and 98.2% of specificity. GAD65 could be expressed in insect larvae, being S. frugiperda the best choice due to its high yield and purity. The development of a cost effective immunoassay for the detection of GADA was also afforded."
30696705,"The controlled production and downstream signaling of the inflammatory cytokine tumor necrosis factor-α (TNF-α) are important for immunity and its anticancer effects. Although chronic stimulation with TNF-α is detrimental to the health of the host in several autoimmune and inflammatory disorders, TNF-α-contrary to what its name implies-leads to cancer formation by promoting cell proliferation and survival. Smac mimetic compounds (SMCs), small-molecule antagonists of inhibitor of apoptosis proteins (IAPs), switch the TNF-α signal from promoting survival to promoting death in cancer cells. Using a genome-wide siRNA screen to identify factors required for SMC-to-TNF-α-mediated cancer cell death, we identified the transcription factor SP3 as a critical molecule in both basal and SMC-induced production of TNF-α by engaging the nuclear factor κB (NF-κB) transcriptional pathway. Moreover, the promotion of TNF-α expression by SP3 activity confers differential sensitivity of cancer versus normal cells to SMC treatment. The key role of SP3 in TNF-α production and signaling will help us further understand TNF-α biology and provide insight into mechanisms relevant to cancer and inflammatory disease."
